District,YEAR,Metric,Value
Athol-Royalston,2021,In-District FTE Pupils,1443.9
Athol-Royalston,2022,In-District FTE Pupils,1551.2
Athol-Royalston,2023,In-District FTE Pupils,1569.9
Athol-Royalston,2024,In-District FTE Pupils,1632.6
Athol-Royalston,2009,Out-of-District FTE Pupils,312.3
Athol-Royalston,2010,Out-of-District FTE Pupils,336.3
Athol-Royalston,2011,Out-of-District FTE Pupils,373.3
Athol-Royalston,2012,Out-of-District FTE Pupils,366.4
Athol-Royalston,2013,Out-of-District FTE Pupils,334.1
Athol-Royalston,2014,Out-of-District FTE Pupils,365.0
Athol-Royalston,2015,Out-of-District FTE Pupils,388.9
Athol-Royalston,2016,Out-of-District FTE Pupils,397.7
Athol-Royalston,2017,Out-of-District FTE Pupils,387.7
Athol-Royalston,2018,Out-of-District FTE Pupils,386.2
Athol-Royalston,2019,Out-of-District FTE Pupils,378.1
Athol-Royalston,2020,Out-of-District FTE Pupils,350.3
Athol-Royalston,2021,Out-of-District FTE Pupils,323.0
