Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2011,Tiny,Shutesbury,,,,5603.0,2596.0,850.0,2361.0,1221.0,1149.0,767.0,345.0,564.0,4034.2624113475176,4682.531914893617,5858.985815602837
2011,Tiny,Sunderland,,,,4540.0,1326.0,1342.0,2540.0,1629.0,842.0,785.0,400.0,643.0,4925.077844311377,6398.377245508982,2292.329341317365
2011,Tiny,Westhampton,,,,4999.0,1862.0,924.0,1009.0,930.0,1013.0,472.0,327.0,683.0,3077.328671328671,5636.979020979021,3393.237762237762
2011,Tiny,Whately,,,,4674.0,2308.0,1516.0,2373.0,1956.0,957.0,787.0,516.0,627.0,2531.7634408602157,5894.1505376344085,10820.6688172043
2011,Tiny,Williamsburg,,,,5739.0,1940.0,1046.0,1246.0,1259.0,752.0,441.0,194.0,419.0,2303.681818181818,6736.244318181818,3903.525
2011,Small,Deerfield,,,,4406.0,1246.0,1212.0,2097.0,781.0,590.0,719.0,244.0,445.0,2565.605527638191,6540.075376884422,2172.906030150753
2011,Small,Frontier,,,,5696.0,2590.0,1455.0,1107.0,1206.0,910.0,473.0,591.0,728.0,4113.680428134557,7025.350152905199,2607.302752293578
2011,Small,Hadley,,,,3776.0,1173.0,1073.0,684.0,959.0,600.0,582.0,177.0,370.0,1121.9876923076922,7596.806153846153,1025.9812307692305
2011,Small,Hampshire,,,,5120.0,2587.0,1631.0,838.0,849.0,850.0,475.0,506.0,927.0,3781.117139334156,5226.162762022195,2938.557336621455
2011,Small,Hatfield,,,,4123.0,831.0,1252.0,1439.0,1281.0,662.0,623.0,323.0,310.0,2025.1054054054052,8125.943243243243,2026.6167567567568
2011,Small,Lee,,,,5171.0,2727.0,1153.0,1487.0,1112.0,866.0,557.0,450.0,735.0,2585.2669376693766,7123.043360433604,3365.183468834689
2011,Small,Lenox,,,,6181.0,2849.0,1216.0,1126.0,1394.0,730.0,686.0,386.0,1029.0,1704.8090909090909,8239.075757575758,6108.660909090908
2011,Small,Mount Greylock,,,,5791.0,4075.0,1787.0,1236.0,1265.0,680.0,478.0,535.0,591.0,,,
2011,Small,Orange,,,,3671.0,2557.0,1339.0,1202.0,764.0,1013.0,530.0,249.0,163.0,7200.24045261669,2913.3026874115985,-635.9383309759553
2011,Small,Ralph C Mahar,,,,4266.0,2520.0,1841.0,691.0,1268.0,790.0,606.0,496.0,845.0,,,
2011,Small,Southampton,,,,4482.0,1215.0,608.0,867.0,650.0,577.0,392.0,203.0,335.0,4629.840690978886,4728.750479846449,443.380038387716
2011,Small,Southern Berkshire,,,,5376.0,3496.0,1840.0,1471.0,1177.0,1033.0,577.0,450.0,641.0,,,
