Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,120.8,"1,754,311,538",271758,74.0,"958,790,883","7,686,994","225,139,300","2,658,904,267",0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,120.7,"850,810,162",56104,82.0,"258,553,384","1,174,349","58,820,722","717,259,721",1
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,120.1,"1,312,168,384",248793,75.0,"993,324,548","9,537,455","369,280,607","3,350,704,343",0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,119.5,"548,408",130,24.0,"1,356,336","17,701","334,009,036","7,041,708,832",0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,117.8,"2,167,768,056",309421,79.0,"773,591,065","11,098,007","1,080,682,523","8,186,754,429",1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,117.7,"2,516,804,300",296739,76.0,"1,779,243,626","26,239,833","177,247,662","1,409,756,969",0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,117.6,"2,738,293,818",251033,74.0,"2,372,399,124","26,919,886","140,938,643","1,859,977,153",0
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,116.9,"1,003,487,432",126402,73.0,"621,874,255","2,859,234","476,447,290","6,208,638,113",1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,116.7,"1,638,836,101",272933,70.0,"1,170,441,361","13,667,470","364,560,431","3,869,815,694",1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,116.6,"372,423,476",44730,71.0,"131,308,671","1,074,684","38,959,591","830,123,390",0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,116.5,"630,373,315",70400,84.0,"50,938,569","246,731","70,110,809","586,454,750",0
Circles,Circles,Post Malone,8/30/2019,116.0,"2,481,391,466",332437,80.0,"1,116,323,669","8,490,012","26,892,604","273,522,601",0
